"City","ID","Name","Sex","Age","Height","Weight","Team","NOC","Games","Year","Season","Sport","Event","Medal","Country","host","TeamEvent","won","n_medals"
"Rio de Janeiro",104227,"Timur Marselevich Safin",1,23,182,82,"Russia","RUS","2016 Summer",2016,"Summer","Fencing","Fencing Men's Foil, Individual","Bronze","Brazil",0,0,1,0
"Rio de Janeiro",17585,"Alexandre Camargo",1,17,177,75,"Brazil","BRA","2016 Summer",2016,"Summer","Fencing","Fencing Men's epee, Team",NA,"Brazil",1,1,0,0
"Rio de Janeiro",75935,"Anna Mrton",0,21,180,70,"Hungary","HUN","2016 Summer",2016,"Summer","Fencing","Fencing Women's Sabre, Individual",NA,"Brazil",0,0,0,0
"Rio de Janeiro",20427,"Aleksey Borisovich Cheremisinov",1,31,183,75,"Russia","RUS","2016 Summer",2016,"Summer","Fencing","Fencing Men's Foil, Individual",NA,"Brazil",0,0,0,0
"Rio de Janeiro",114700,"Benjamin Steffen",1,34,189,78,"Switzerland","SUI","2016 Summer",2016,"Summer","Fencing","Fencing Men's epee, Individual",NA,"Brazil",0,0,0,0
"Rio de Janeiro",18840,"Andrea Cassar",1,32,193,93,"Italy","ITA","2016 Summer",2016,"Summer","Fencing","Fencing Men's Foil, Team",NA,"Brazil",0,1,0,3
"Rio de Janeiro",2207,"Ayman Alaa El-Din Mohamed Fayez",1,25,181,72,"Egypt","EGY","2016 Summer",2016,"Summer","Fencing","Fencing Men's epee, Individual",NA,"Brazil",0,0,0,0
"Rio de Janeiro",68620,"Charlotte Lembach",0,28,164,57,"France","FRA","2016 Summer",2016,"Summer","Fencing","Fencing Women's Sabre, Team",NA,"Brazil",0,1,0,0
"Rio de Janeiro",74130,"Auriane Mallo",0,22,180,63,"France","FRA","2016 Summer",2016,"Summer","Fencing","Fencing Women's epee, Individual",NA,"Brazil",0,0,0,0
"Rio de Janeiro",8946,"Sandro Bazadze",1,23,193,88,"Georgia","GEO","2016 Summer",2016,"Summer","Fencing","Fencing Men's Sabre, Individual",NA,"Brazil",0,0,0,0
"Rio de Janeiro",39802,"Tiffany Groudet",0,29,170,68,"Switzerland","SUI","2016 Summer",2016,"Summer","Fencing","Fencing Women's epee, Individual",NA,"Brazil",0,0,0,0
"Rio de Janeiro",101785,"John dison Rodrguez Quevedo",1,25,205,102,"Colombia","COL","2016 Summer",2016,"Summer","Fencing","Fencing Men's epee, Individual",NA,"Brazil",0,0,0,0
"Rio de Janeiro",127566,"Vasiliki Vougiouka",0,30,181,70,"Greece","GRE","2016 Summer",2016,"Summer","Fencing","Fencing Women's Sabre, Individual",NA,"Brazil",0,0,0,0
"Rio de Janeiro",119642,"Ysaora Jennifer Thibus",0,24,174,59,"France","FRA","2016 Summer",2016,"Summer","Fencing","Fencing Women's Foil, Individual",NA,"Brazil",0,0,0,0
"Rio de Janeiro",61806,"Olga Aleksandrovna Kochneva",0,28,168,58,"Russia","RUS","2016 Summer",2016,"Summer","Fencing","Fencing Women's epee, Team","Bronze","Brazil",0,1,1,0
"Rio de Janeiro",495,"Alaaeldin Ahmad El-Sayyid Abouelkassem",1,25,188,87,"Egypt","EGY","2016 Summer",2016,"Summer","Fencing","Fencing Men's Foil, Team",NA,"Brazil",0,1,0,1
"Rio de Janeiro",51134,"Kelley Anne Hurley",0,28,175,75,"United States","USA","2016 Summer",2016,"Summer","Fencing","Fencing Women's epee, Team",NA,"Brazil",0,1,0,1
"Rio de Janeiro",45138,"Laurence Halsted",1,32,185,85,"Great Britain","GBR","2016 Summer",2016,"Summer","Fencing","Fencing Men's Foil, Team",NA,"Brazil",0,1,0,0
"Rio de Janeiro",109674,"Shi Jialuo",1,23,184,71,"China","CHN","2016 Summer",2016,"Summer","Fencing","Fencing Men's Foil, Team",NA,"Brazil",0,1,0,0
"Rio de Janeiro",91495,"Park Gyeong-Du",1,32,177,77,"South Korea","KOR","2016 Summer",2016,"Summer","Fencing","Fencing Men's epee, Individual",NA,"Brazil",0,0,0,0
"Rio de Janeiro",86206,"Bohdan Sergiyevych Nikishyn",1,36,188,85,"Ukraine","UKR","2016 Summer",2016,"Summer","Fencing","Fencing Men's epee, Team",NA,"Brazil",0,1,0,0
"Rio de Janeiro",43412,"Gu Bon-Gil",1,27,182,70,"South Korea","KOR","2016 Summer",2016,"Summer","Fencing","Fencing Men's Sabre, Individual",NA,"Brazil",0,0,0,1
"Rio de Janeiro",95300,"Paolo Pizzo",1,33,180,70,"Italy","ITA","2016 Summer",2016,"Summer","Fencing","Fencing Men's epee, Team","Silver","Brazil",0,1,1,0
"Rio de Janeiro",131654,"Dagmara Wozniak (Woniak-)",0,28,173,81,"United States","USA","2016 Summer",2016,"Summer","Fencing","Fencing Women's Sabre, Individual",NA,"Brazil",0,0,0,0
"Rio de Janeiro",52053,"Gza Imre",1,41,184,75,"Hungary","HUN","2016 Summer",2016,"Summer","Fencing","Fencing Men's epee, Individual","Silver","Brazil",0,0,1,2
"Rio de Janeiro",71060,"Tatyana Yuryevna Logunova",0,36,174,62,"Russia","RUS","2016 Summer",2016,"Summer","Fencing","Fencing Women's epee, Team","Bronze","Brazil",0,1,1,1
"Rio de Janeiro",1730,"Monica Aksamit",0,26,183,74,"United States","USA","2016 Summer",2016,"Summer","Fencing","Fencing Women's Sabre, Team","Bronze","Brazil",0,1,1,0
"Rio de Janeiro",41656,"rsula Sarah Gonzlez Garate",0,24,171,71,"Mexico","MEX","2016 Summer",2016,"Summer","Fencing","Fencing Women's Sabre, Team",NA,"Brazil",0,1,0,0
"Rio de Janeiro",68588,"Olha Oleksandrivna Leleiko",0,39,178,68,"Ukraine","UKR","2016 Summer",2016,"Summer","Fencing","Fencing Women's Foil, Individual",NA,"Brazil",0,0,0,0
"Rio de Janeiro",64399,"Richard Adam Kruse",1,33,190,84,"Great Britain","GBR","2016 Summer",2016,"Summer","Fencing","Fencing Men's Foil, Team",NA,"Brazil",0,1,0,0
"Rio de Janeiro",13908,"Ins Boubakri",0,27,167,56,"Tunisia","TUN","2016 Summer",2016,"Summer","Fencing","Fencing Women's Foil, Individual","Bronze","Brazil",0,0,1,0
