"ID","Name","Sex","Age","Height","Weight","Team","NOC","Year","Season","Sport","Event","Country","host","TeamEvent","n_medals"
104227,"Timur Marselevich Safin",1,31,182,82,"Other","RUS",2024,"Summer","Fencing","Fencing Men's Foil, Individual","Brazil",0,0,1
17585,"Alexandre Camargo",1,25,177,75,"Other","BRA",2024,"Summer","Fencing","Fencing Men's epee, Team","Brazil",0,1,0
75935,"Anna Mrton",0,29,180,70,"Hungary","HUN",2024,"Summer","Fencing","Fencing Women's Sabre, Individual","Brazil",0,0,0
20427,"Aleksey Borisovich Cheremisinov",1,39,183,75,"Other","RUS",2024,"Summer","Fencing","Fencing Men's Foil, Individual","Brazil",0,0,0
114700,"Benjamin Steffen",1,42,189,78,"Other","SUI",2024,"Summer","Fencing","Fencing Men's epee, Individual","Brazil",0,0,0
18840,"Andrea Cassar",1,40,193,93,"Italy","ITA",2024,"Summer","Fencing","Fencing Men's Foil, Team","Brazil",0,1,3
2207,"Ayman Alaa El-Din Mohamed Fayez",1,33,181,72,"Other","EGY",2024,"Summer","Fencing","Fencing Men's epee, Individual","Brazil",0,0,0
68620,"Charlotte Lembach",0,36,164,57,"France","FRA",2024,"Summer","Fencing","Fencing Women's Sabre, Team","Brazil",1,1,0
74130,"Auriane Mallo",0,30,180,63,"France","FRA",2024,"Summer","Fencing","Fencing Women's epee, Individual","Brazil",1,0,0
8946,"Sandro Bazadze",1,31,193,88,"Other","GEO",2024,"Summer","Fencing","Fencing Men's Sabre, Individual","Brazil",0,0,0
39802,"Tiffany Groudet",0,37,170,68,"Other","SUI",2024,"Summer","Fencing","Fencing Women's epee, Individual","Brazil",0,0,0
101785,"John dison Rodrguez Quevedo",1,33,205,102,"Other","COL",2024,"Summer","Fencing","Fencing Men's epee, Individual","Brazil",0,0,0
127566,"Vasiliki Vougiouka",0,38,181,70,"Other","GRE",2024,"Summer","Fencing","Fencing Women's Sabre, Individual","Brazil",0,0,0
119642,"Ysaora Jennifer Thibus",0,32,174,59,"France","FRA",2024,"Summer","Fencing","Fencing Women's Foil, Individual","Brazil",1,0,0
61806,"Olga Aleksandrovna Kochneva",0,36,168,58,"Other","RUS",2024,"Summer","Fencing","Fencing Women's epee, Team","Brazil",0,1,1
495,"Alaaeldin Ahmad El-Sayyid Abouelkassem",1,33,188,87,"Other","EGY",2024,"Summer","Fencing","Fencing Men's Foil, Team","Brazil",0,1,1
