"Team","Year","n_Males","Age","Height","Weight","host","n_Events","Team_Size","n_team_medal","n_single_medal","n_medals","n_Females","prop_medal","cum_n_medals"
"Algeria",2016,1,29.5,168.5,64.5,0,2,2,0,0,0,1,0,0
"Argentina",2016,0,31,180,68,0,1,1,0,0,0,1,0,1
"Austria",2016,1,30,184,76,0,1,1,0,0,0,0,0,4
"Azerbaijan",2016,0,28,168,51,0,1,1,0,0,0,1,0,0
"Belarus",2016,1,31,191,80,0,1,1,0,0,0,0,0,0
"Belgium",2016,1,28,193,93,0,1,1,0,0,0,0,0,13
"Benin",2016,1,27,192,96,0,1,1,0,0,0,0,0,0
"Brazil",2016,9,25.1875,176.8125,71.0625,1,9,16,0,0,0,7,0,0
"Bulgaria",2016,1,22,178,77,0,1,1,0,0,0,0,0,0
"Canada",2016,3,24.4,178.6,76.8,0,5,5,0,0,0,2,0,0
"China",2016,6,25.9230769230769,182.538461538462,71.4615384615385,0,8,13,1,1,2,7,0.0689655172413793,12
"Colombia",2016,1,26.5,190,83,0,2,2,0,0,0,1,0,0
"Cote d'Ivoire",2016,0,23,171,64,0,1,1,0,0,0,1,0,0
"Cuba",2016,1,30,177,79,0,1,1,0,0,0,0,0,9
"Czech Republic",2016,2,28,194,84.5,0,2,2,0,0,0,0,0,0
"Egypt",2016,6,21.125,180.125,71,0,6,8,0,0,0,2,0,1
"Estonia",2016,1,30,178.2,70.4,0,3,5,0,0,0,4,0,0
"France",2016,9,27.2631578947368,178.684210526316,70.2631578947368,0,10,19,2,1,3,10,0.103448275862069,102
"Georgia",2016,1,23,193,88,0,1,1,0,0,0,0,0,0
"Germany",2016,3,28.25,178.75,73.25,0,3,4,0,0,0,1,0,46
"Great Britain",2016,4,29,188.25,86.25,0,2,4,0,0,0,0,0,9
"Greece",2016,0,24.5,174.5,64,0,2,2,0,0,0,2,0,4
"Hong Kong",2016,1,24,174.333333333333,64,0,3,3,0,0,0,2,0,0
"Hungary",2016,6,33.9,179.9,74.3,0,6,10,1,3,4,4,0.137931034482759,83
"Individual Olympic Athletes",2016,1,NA,NA,NA,0,1,1,0,0,0,0,0,0
"Iran",2016,2,28,186.5,88.5,0,1,2,0,0,0,0,0,0
"Italy",2016,10,28.9411764705882,177.529411764706,68.5294117647059,0,9,17,1,3,4,7,0.137931034482759,119
"Japan",2016,3,28.3333333333333,171.833333333333,67,0,6,6,0,0,0,3,0,1
"Kazakhstan",2016,1,32,177,74,0,1,1,0,0,0,0,0,0
"Lebanon",2016,0,22,152,52,0,1,1,0,0,0,1,0,0
"Mexico",2016,2,23.4285714285714,170.142857142857,69,0,6,7,0,0,0,5,0,1
"Morocco",2016,0,21,162,58,0,1,1,0,0,0,1,0,0
"Netherlands",2016,1,32,190,85,0,1,1,0,0,0,0,0,8
"Panama",2016,0,29,152,59,0,1,1,0,0,0,1,0,0
"Poland",2016,0,29.2,175,66.2,0,3,5,0,0,0,5,0,21
"Romania",2016,1,28,174.333333333333,64.8333333333333,0,4,6,1,0,1,5,0.0344827586206897,12
"Russia",2016,9,28.4210526315789,178,70.6842105263158,0,10,19,3,4,7,10,0.241379310344828,19
"Saudi Arabia",2016,0,29,152,45,0,1,1,0,0,0,1,0,0
"Senegal",2016,1,35,168,75,0,1,1,0,0,0,0,0,0
"South Korea",2016,7,28.7058823529412,171.294117647059,63.7058823529412,0,9,17,0,2,2,10,0.0689655172413793,9
"Switzerland",2016,4,29.2,182,77.2,0,3,5,0,0,0,1,0,7
"Tunisia",2016,2,25.6,175.4,65.6,0,5,5,0,0,0,3,0,0
"Turkey",2016,0,23,167,60,0,1,1,0,0,0,1,0,0
"Ukraine",2016,5,28.9285714285714,177.285714285714,72.7142857142857,0,8,14,1,1,2,9,0.0689655172413793,4
"United States",2016,7,26,177.117647058824,74.2352941176471,0,9,17,2,2,4,10,0.137931034482759,27
"Venezuela",2016,5,30.8571428571429,175,70.2857142857143,0,5,7,0,0,0,2,0,0
"Vietnam",2016,1,26.25,172,63.25,0,4,4,0,0,0,3,0,0
