"Team","Year","n_Males","Age","Height","Weight","host","n_Events","Team_Size","n_Females","cum_n_medals"
"Algeria",2024,1,37.5,168.5,64.5,0,2,2,1,0
"Argentina",2024,0,39,180,68,0,1,1,1,1
"Austria",2024,1,38,184,76,0,1,1,0,4
"Azerbaijan",2024,0,36,168,51,0,1,1,1,0
"Belarus",2024,1,39,191,80,0,1,1,0,0
"Belgium",2024,1,36,193,93,0,1,1,0,13
"Benin",2024,1,35,192,96,0,1,1,0,0
"Brazil",2024,9,33.1875,176.8125,71.0625,1,9,16,7,0
"Bulgaria",2024,1,30,178,77,0,1,1,0,0
"Canada",2024,3,32.4,178.6,76.8,0,5,5,2,0
"China",2024,6,33.9230769230769,182.538461538462,71.4615384615385,0,8,13,7,14
"Colombia",2024,1,34.5,190,83,0,2,2,1,0
"Cote d'Ivoire",2024,0,31,171,64,0,1,1,1,0
"Cuba",2024,1,38,177,79,0,1,1,0,9
"Czech Republic",2024,2,36,194,84.5,0,2,2,0,0
"Egypt",2024,6,29.125,180.125,71,0,6,8,2,1
"Estonia",2024,1,38,178.2,70.4,0,3,5,4,0
"France",2024,9,35.2631578947368,178.684210526316,70.2631578947368,0,10,19,10,105
"Georgia",2024,1,31,193,88,0,1,1,0,0
"Germany",2024,3,36.25,178.75,73.25,0,3,4,1,46
"Great Britain",2024,4,37,188.25,86.25,0,2,4,0,9
"Greece",2024,0,32.5,174.5,64,0,2,2,2,4
"Hong Kong",2024,1,32,174.333333333333,64,0,3,3,2,0
"Hungary",2024,6,41.9,179.9,74.3,0,6,10,4,87
"Individual Olympic Athletes",2024,1,NA,NA,NA,0,1,1,0,0
"Iran",2024,2,36,186.5,88.5,0,1,2,0,0
"Italy",2024,10,36.9411764705882,177.529411764706,68.5294117647059,0,9,17,7,123
"Japan",2024,3,36.3333333333333,171.833333333333,67,0,6,6,3,1
"Kazakhstan",2024,1,40,177,74,0,1,1,0,0
"Lebanon",2024,0,30,152,52,0,1,1,1,0
"Mexico",2024,2,31.4285714285714,170.142857142857,69,0,6,7,5,1
"Morocco",2024,0,29,162,58,0,1,1,1,0
"Netherlands",2024,1,40,190,85,0,1,1,0,8
"Panama",2024,0,37,152,59,0,1,1,1,0
"Poland",2024,0,37.2,175,66.2,0,3,5,5,21
"Romania",2024,1,36,174.333333333333,64.8333333333333,0,4,6,5,13
"Russia",2024,9,36.4210526315789,178,70.6842105263158,0,10,19,10,26
"Saudi Arabia",2024,0,37,152,45,0,1,1,1,0
"Senegal",2024,1,43,168,75,0,1,1,0,0
"South Korea",2024,7,36.7058823529412,171.294117647059,63.7058823529412,0,9,17,10,11
"Switzerland",2024,4,37.2,182,77.2,0,3,5,1,7
"Tunisia",2024,2,33.6,175.4,65.6,0,5,5,3,0
"Turkey",2024,0,31,167,60,0,1,1,1,0
"Ukraine",2024,5,36.9285714285714,177.285714285714,72.7142857142857,0,8,14,9,6
"United States",2024,7,34,177.117647058824,74.2352941176471,0,9,17,10,31
"Venezuela",2024,5,38.8571428571429,175,70.2857142857143,0,5,7,2,0
"Vietnam",2024,1,34.25,172,63.25,0,4,4,3,0
